Ngày,Đài,G.8
16/06/2006,Bình Dương,92
16/06/2006,Trà Vinh,14
16/06/2006,Vĩnh Long,98
17/06/2006,Bình Phước,68
17/06/2006,Hậu Giang,65
17/06/2006,Hồ Chí Minh,10
17/06/2006,Long An,15
18/06/2006,Kiên Giang,53
18/06/2006,Tiền Giang,92
18/06/2006,Đà Lạt,89
19/06/2006,Cà Mau,30
19/06/2006,Hồ Chí Minh,06
19/06/2006,Đồng Tháp,49
20/06/2006,Bạc Liêu,53
20/06/2006,Bến Tre,62
20/06/2006,Vũng Tàu,66
21/06/2006,Cần Thơ,94
21/06/2006,Sóc Trăng,05
21/06/2006,Đồng Nai,14
22/06/2006,An Giang,02
22/06/2006,Bình Thuận,71
22/06/2006,Tây Ninh,27
23/06/2006,Bình Dương,51
23/06/2006,Trà Vinh,44
23/06/2006,Vĩnh Long,29
24/06/2006,Bình Phước,58
24/06/2006,Hậu Giang,35
24/06/2006,Hồ Chí Minh,83
24/06/2006,Long An,46
25/06/2006,Kiên Giang,88
25/06/2006,Tiền Giang,78
25/06/2006,Đà Lạt,35
26/06/2006,Cà Mau,40
26/06/2006,Hồ Chí Minh,19
26/06/2006,Đồng Tháp,78
27/06/2006,Bạc Liêu,42
27/06/2006,Bến Tre,10
27/06/2006,Vũng Tàu,55
28/06/2006,Cần Thơ,57
28/06/2006,Sóc Trăng,64
28/06/2006,Đồng Nai,62
29/06/2006,An Giang,42
29/06/2006,Bình Thuận,85
29/06/2006,Tây Ninh,46
30/06/2006,Bình Dương,32
30/06/2006,Trà Vinh,80
30/06/2006,Vĩnh Long,61
01/07/2006,Bình Phước,15
01/07/2006,Hậu Giang,74
01/07/2006,Hồ Chí Minh,58
01/07/2006,Long An,18
02/07/2006,Kiên Giang,64
02/07/2006,Tiền Giang,32
02/07/2006,Đà Lạt,15
03/07/2006,Cà Mau,94
03/07/2006,Hồ Chí Minh,68
03/07/2006,Đồng Tháp,96
04/07/2006,Bạc Liêu,09
04/07/2006,Bến Tre,48
04/07/2006,Vũng Tàu,97
05/07/2006,Cần Thơ,53
05/07/2006,Sóc Trăng,94
05/07/2006,Đồng Nai,37
06/07/2006,An Giang,25
06/07/2006,Bình Thuận,47
06/07/2006,Tây Ninh,83
07/07/2006,Bình Dương,40
07/07/2006,Trà Vinh,65
07/07/2006,Vĩnh Long,37
08/07/2006,Bình Phước,93
08/07/2006,Hậu Giang,54
08/07/2006,Hồ Chí Minh,80
08/07/2006,Long An,71
09/07/2006,Kiên Giang,27
09/07/2006,Tiền Giang,31
09/07/2006,Đà Lạt,21
10/07/2006,Cà Mau,22
10/07/2006,Hồ Chí Minh,63
10/07/2006,Đồng Tháp,18
11/07/2006,Bạc Liêu,16
11/07/2006,Bến Tre,87
11/07/2006,Vũng Tàu,52
12/07/2006,Cần Thơ,08
12/07/2006,Sóc Trăng,95
12/07/2006,Đồng Nai,08
13/07/2006,An Giang,92
13/07/2006,Bình Thuận,94
13/07/2006,Tây Ninh,20
14/07/2006,Bình Dương,09
14/07/2006,Trà Vinh,36
14/07/2006,Vĩnh Long,65
15/07/2006,Bình Phước,20
15/07/2006,Hậu Giang,46
15/07/2006,Hồ Chí Minh,05
15/07/2006,Long An,65
16/07/2006,Kiên Giang,59
16/07/2006,Tiền Giang,61
16/07/2006,Đà Lạt,31
17/07/2006,Cà Mau,40
17/07/2006,Hồ Chí Minh,96
17/07/2006,Đồng Tháp,05
18/07/2006,Bạc Liêu,25
18/07/2006,Bến Tre,53
18/07/2006,Vũng Tàu,59
19/07/2006,Cần Thơ,99
19/07/2006,Sóc Trăng,55
19/07/2006,Đồng Nai,78
20/07/2006,An Giang,42
20/07/2006,Bình Thuận,04
20/07/2006,Tây Ninh,07
21/07/2006,Bình Dương,96
21/07/2006,Trà Vinh,85
21/07/2006,Vĩnh Long,41
22/07/2006,Bình Phước,03
22/07/2006,Hậu Giang,09
22/07/2006,Hồ Chí Minh,33
22/07/2006,Long An,42
23/07/2006,Kiên Giang,46
23/07/2006,Tiền Giang,48
23/07/2006,Đà Lạt,18
24/07/2006,Cà Mau,34
24/07/2006,Hồ Chí Minh,29
24/07/2006,Đồng Tháp,37
25/07/2006,Bạc Liêu,81
25/07/2006,Bến Tre,96
25/07/2006,Vũng Tàu,06
26/07/2006,Cần Thơ,13
26/07/2006,Sóc Trăng,33
26/07/2006,Đồng Nai,20
27/07/2006,An Giang,14
27/07/2006,Bình Thuận,39
27/07/2006,Tây Ninh,56
28/07/2006,Bình Dương,23
28/07/2006,Trà Vinh,24
28/07/2006,Vĩnh Long,88
29/07/2006,Bình Phước,64
29/07/2006,Hậu Giang,45
29/07/2006,Hồ Chí Minh,53
29/07/2006,Long An,95
30/07/2006,Kiên Giang,16
30/07/2006,Tiền Giang,52
30/07/2006,Đà Lạt,00
31/07/2006,Cà Mau,70
31/07/2006,Hồ Chí Minh,17
31/07/2006,Đồng Tháp,24
01/08/2006,Bạc Liêu,33
01/08/2006,Bến Tre,32
01/08/2006,Vũng Tàu,82
02/08/2006,Cần Thơ,68
02/08/2006,Sóc Trăng,87
02/08/2006,Đồng Nai,66
03/08/2006,An Giang,18
03/08/2006,Bình Thuận,86
03/08/2006,Tây Ninh,50
04/08/2006,Bình Dương,80
06/08/2006,Tiền Giang,60
07/08/2006,Cà Mau,23
07/08/2006,Hồ Chí Minh,09
07/08/2006,Đồng Tháp,99
08/08/2006,Bạc Liêu,08
08/08/2006,Bến Tre,09
08/08/2006,Vũng Tàu,81
09/08/2006,Cần Thơ,36
09/08/2006,Sóc Trăng,59
09/08/2006,Đồng Nai,55
10/08/2006,An Giang,31
10/08/2006,Bình Thuận,49
10/08/2006,Tây Ninh,19
11/08/2006,Bình Dương,09
11/08/2006,Trà Vinh,12
11/08/2006,Vĩnh Long,11
12/08/2006,Bình Phước,51
12/08/2006,Hậu Giang,79
12/08/2006,Hồ Chí Minh,11
12/08/2006,Long An,05
13/08/2006,Kiên Giang,44
13/08/2006,Tiền Giang,42
13/08/2006,Đà Lạt,20
14/08/2006,Cà Mau,12
14/08/2006,Hồ Chí Minh,55
14/08/2006,Đồng Tháp,09
15/08/2006,Bạc Liêu,05
15/08/2006,Bến Tre,08
15/08/2006,Vũng Tàu,78
16/08/2006,Cần Thơ,73
16/08/2006,Sóc Trăng,01
16/08/2006,Đồng Nai,11
17/08/2006,An Giang,67
17/08/2006,Bình Thuận,19
17/08/2006,Tây Ninh,61
18/08/2006,Bình Dương,01
18/08/2006,Trà Vinh,77
18/08/2006,Vĩnh Long,38
19/08/2006,Bình Phước,49
19/08/2006,Hậu Giang,80
19/08/2006,Hồ Chí Minh,37
19/08/2006,Long An,22
20/08/2006,Kiên Giang,38
20/08/2006,Tiền Giang,14
20/08/2006,Đà Lạt,57
21/08/2006,Cà Mau,06
21/08/2006,Hồ Chí Minh,59
21/08/2006,Đồng Tháp,47
22/08/2006,Bạc Liêu,84
22/08/2006,Bến Tre,61
22/08/2006,Vũng Tàu,90
23/08/2006,Cần Thơ,41
23/08/2006,Sóc Trăng,35
23/08/2006,Đồng Nai,73
24/08/2006,An Giang,88
24/08/2006,Bình Thuận,13
24/08/2006,Tây Ninh,91
25/08/2006,Bình Dương,87
26/08/2006,Bình Phước,20
26/08/2006,Hậu Giang,15
26/08/2006,Hồ Chí Minh,03
26/08/2006,Long An,25
27/08/2006,Kiên Giang,20
27/08/2006,Tiền Giang,18
27/08/2006,Đà Lạt,85
28/08/2006,Cà Mau,59
28/08/2006,Hồ Chí Minh,64
28/08/2006,Đồng Tháp,87
29/08/2006,Bạc Liêu,41
29/08/2006,Bến Tre,43
29/08/2006,Vũng Tàu,21
30/08/2006,Cần Thơ,37
30/08/2006,Sóc Trăng,99
30/08/2006,Đồng Nai,23
31/08/2006,An Giang,67
31/08/2006,Bình Thuận,24
31/08/2006,Tây Ninh,41
01/09/2006,Bình Dương,42
01/09/2006,Trà Vinh,55
01/09/2006,Vĩnh Long,29
02/09/2006,Bình Phước,31
02/09/2006,Hậu Giang,80
02/09/2006,Hồ Chí Minh,88
02/09/2006,Long An,91
03/09/2006,Kiên Giang,92
03/09/2006,Tiền Giang,97
03/09/2006,Đà Lạt,56
04/09/2006,Cà Mau,42
04/09/2006,Hồ Chí Minh,19
04/09/2006,Đồng Tháp,29
05/09/2006,Bạc Liêu,68
05/09/2006,Bến Tre,47
05/09/2006,Vũng Tàu,90
06/09/2006,Cần Thơ,43
06/09/2006,Sóc Trăng,84
06/09/2006,Đồng Nai,71
07/09/2006,An Giang,67
07/09/2006,Bình Thuận,54
07/09/2006,Tây Ninh,77
08/09/2006,Bình Dương,31
08/09/2006,Trà Vinh,36
08/09/2006,Vĩnh Long,78
09/09/2006,Bình Phước,69
09/09/2006,Hậu Giang,25
09/09/2006,Hồ Chí Minh,15
09/09/2006,Long An,70
10/09/2006,Kiên Giang,81
10/09/2006,Tiền Giang,37
10/09/2006,Đà Lạt,17
11/09/2006,Cà Mau,32
11/09/2006,Hồ Chí Minh,70
11/09/2006,Đồng Tháp,87
12/09/2006,Bạc Liêu,61
12/09/2006,Bến Tre,84
12/09/2006,Vũng Tàu,92
13/09/2006,Cần Thơ,89
13/09/2006,Sóc Trăng,71
13/09/2006,Đồng Nai,15
14/09/2006,An Giang,76
14/09/2006,Bình Thuận,68
14/09/2006,Tây Ninh,02
15/09/2006,Bình Dương,84
15/09/2006,Trà Vinh,69
15/09/2006,Vĩnh Long,41
16/09/2006,Bình Phước,94
16/09/2006,Hậu Giang,29
16/09/2006,Hồ Chí Minh,15
16/09/2006,Long An,53
17/09/2006,Kiên Giang,02
17/09/2006,Tiền Giang,03
17/09/2006,Đà Lạt,14
18/09/2006,Cà Mau,09
18/09/2006,Hồ Chí Minh,47
18/09/2006,Đồng Tháp,74
19/09/2006,Bạc Liêu,84
19/09/2006,Bến Tre,24
19/09/2006,Vũng Tàu,40
20/09/2006,Cần Thơ,69
20/09/2006,Sóc Trăng,68
20/09/2006,Đồng Nai,06
21/09/2006,An Giang,48
21/09/2006,Bình Thuận,13
21/09/2006,Tây Ninh,50
22/09/2006,Bình Dương,45
22/09/2006,Trà Vinh,31
22/09/2006,Vĩnh Long,53
23/09/2006,Bình Phước,09
23/09/2006,Hậu Giang,52
23/09/2006,Hồ Chí Minh,36
23/09/2006,Long An,18
24/09/2006,Kiên Giang,26
24/09/2006,Tiền Giang,01
24/09/2006,Đà Lạt,97
25/09/2006,Cà Mau,38
25/09/2006,Hồ Chí Minh,13
25/09/2006,Đồng Tháp,60
26/09/2006,Bạc Liêu,47
26/09/2006,Bến Tre,63
26/09/2006,Vũng Tàu,92
27/09/2006,Cần Thơ,94
27/09/2006,Sóc Trăng,20
27/09/2006,Đồng Nai,76
28/09/2006,An Giang,66
28/09/2006,Bình Thuận,27
28/09/2006,Tây Ninh,80
29/09/2006,Bình Dương,51
29/09/2006,Trà Vinh,19
29/09/2006,Vĩnh Long,88
30/09/2006,Bình Phước,70
30/09/2006,Hậu Giang,06
30/09/2006,Hồ Chí Minh,91
30/09/2006,Long An,85
01/10/2006,Kiên Giang,20
01/10/2006,Tiền Giang,62
01/10/2006,Đà Lạt,35
02/10/2006,Cà Mau,26
02/10/2006,Hồ Chí Minh,09
02/10/2006,Đồng Tháp,83
03/10/2006,Bạc Liêu,15
03/10/2006,Bến Tre,05
03/10/2006,Vũng Tàu,44
04/10/2006,Cần Thơ,26
04/10/2006,Sóc Trăng,88
04/10/2006,Đồng Nai,20
05/10/2006,An Giang,84
05/10/2006,Bình Thuận,99
05/10/2006,Tây Ninh,78
06/10/2006,Bình Dương,08
06/10/2006,Trà Vinh,09
06/10/2006,Vĩnh Long,93
07/10/2006,Bình Phước,66
07/10/2006,Hậu Giang,53
07/10/2006,Hồ Chí Minh,74
07/10/2006,Long An,14
08/10/2006,Kiên Giang,64
08/10/2006,Tiền Giang,82
08/10/2006,Đà Lạt,75
09/10/2006,Cà Mau,28
09/10/2006,Hồ Chí Minh,92
09/10/2006,Đồng Tháp,56
10/10/2006,Bạc Liêu,83
10/10/2006,Bến Tre,93
10/10/2006,Vũng Tàu,08
11/10/2006,Cần Thơ,41
11/10/2006,Sóc Trăng,37
11/10/2006,Đồng Nai,93
12/10/2006,An Giang,15
12/10/2006,Bình Thuận,86
12/10/2006,Tây Ninh,09
13/10/2006,Bình Dương,56
13/10/2006,Trà Vinh,84
13/10/2006,Vĩnh Long,49
14/10/2006,Bình Phước,97
14/10/2006,Hậu Giang,23
14/10/2006,Hồ Chí Minh,08
14/10/2006,Long An,35
15/10/2006,Kiên Giang,91
15/10/2006,Tiền Giang,41
15/10/2006,Đà Lạt,32
16/10/2006,Cà Mau,84
16/10/2006,Hồ Chí Minh,74
16/10/2006,Đồng Tháp,85
17/10/2006,Bạc Liêu,23
17/10/2006,Bến Tre,50
17/10/2006,Vũng Tàu,56
18/10/2006,Cần Thơ,60
18/10/2006,Sóc Trăng,99
18/10/2006,Đồng Nai,09
19/10/2006,An Giang,55
19/10/2006,Bình Thuận,73
19/10/2006,Tây Ninh,82
20/10/2006,Bình Dương,59
20/10/2006,Trà Vinh,15
20/10/2006,Vĩnh Long,91
21/10/2006,Bình Phước,06
21/10/2006,Hậu Giang,19
21/10/2006,Hồ Chí Minh,32
21/10/2006,Long An,56
22/10/2006,Kiên Giang,25
22/10/2006,Tiền Giang,43
22/10/2006,Đà Lạt,81
23/10/2006,Cà Mau,35
23/10/2006,Hồ Chí Minh,58
23/10/2006,Đồng Tháp,53
24/10/2006,Bạc Liêu,45
24/10/2006,Bến Tre,83
24/10/2006,Vũng Tàu,63
25/10/2006,Cần Thơ,80
25/10/2006,Sóc Trăng,78
25/10/2006,Đồng Nai,59
26/10/2006,An Giang,21
26/10/2006,Bình Thuận,63
26/10/2006,Tây Ninh,42
27/10/2006,Bình Dương,96
27/10/2006,Trà Vinh,36
27/10/2006,Vĩnh Long,85
28/10/2006,Bình Phước,36
28/10/2006,Hậu Giang,77
28/10/2006,Hồ Chí Minh,86
28/10/2006,Long An,23
29/10/2006,Kiên Giang,61
29/10/2006,Tiền Giang,59
29/10/2006,Đà Lạt,88
30/10/2006,Cà Mau,47
30/10/2006,Hồ Chí Minh,38
30/10/2006,Đồng Tháp,64
31/10/2006,Bạc Liêu,27
31/10/2006,Bến Tre,03
31/10/2006,Vũng Tàu,22
01/11/2006,Cần Thơ,05
01/11/2006,Sóc Trăng,01
01/11/2006,Đồng Nai,34
02/11/2006,An Giang,23
02/11/2006,Bình Thuận,46
02/11/2006,Tây Ninh,68
03/11/2006,Bình Dương,96
03/11/2006,Trà Vinh,86
03/11/2006,Vĩnh Long,94
04/11/2006,Bình Phước,51
04/11/2006,Hậu Giang,27
04/11/2006,Hồ Chí Minh,90
04/11/2006,Long An,13
05/11/2006,Kiên Giang,43
05/11/2006,Tiền Giang,80
05/11/2006,Đà Lạt,15
06/11/2006,Cà Mau,63
06/11/2006,Hồ Chí Minh,77
06/11/2006,Đồng Tháp,47
07/11/2006,Bạc Liêu,61
07/11/2006,Bến Tre,56
07/11/2006,Vũng Tàu,08
08/11/2006,Cần Thơ,41
08/11/2006,Sóc Trăng,58
08/11/2006,Đồng Nai,29
09/11/2006,An Giang,85
09/11/2006,Bình Thuận,61
09/11/2006,Tây Ninh,13
10/11/2006,Bình Dương,83
10/11/2006,Trà Vinh,73
10/11/2006,Vĩnh Long,06
11/11/2006,Bình Phước,33
11/11/2006,Hậu Giang,10
11/11/2006,Hồ Chí Minh,38
11/11/2006,Long An,73
12/11/2006,Kiên Giang,13
12/11/2006,Tiền Giang,61
12/11/2006,Đà Lạt,82
13/11/2006,Cà Mau,44
13/11/2006,Hồ Chí Minh,18
13/11/2006,Đồng Tháp,08
14/11/2006,Bạc Liêu,64
14/11/2006,Bến Tre,55
14/11/2006,Vũng Tàu,99
15/11/2006,Cần Thơ,12
15/11/2006,Sóc Trăng,84
15/11/2006,Đồng Nai,11
16/11/2006,An Giang,65
16/11/2006,Bình Thuận,75
16/11/2006,Tây Ninh,30
17/11/2006,Bình Dương,82
17/11/2006,Trà Vinh,35
17/11/2006,Vĩnh Long,37
18/11/2006,Bình Phước,56
18/11/2006,Hậu Giang,93
18/11/2006,Hồ Chí Minh,51
18/11/2006,Long An,23
19/11/2006,Kiên Giang,88
19/11/2006,Tiền Giang,29
19/11/2006,Đà Lạt,96
20/11/2006,Cà Mau,05
20/11/2006,Hồ Chí Minh,78
20/11/2006,Đồng Tháp,77
21/11/2006,Bạc Liêu,14
21/11/2006,Bến Tre,61
21/11/2006,Vũng Tàu,06
22/11/2006,Cần Thơ,54
22/11/2006,Sóc Trăng,04
22/11/2006,Đồng Nai,88
23/11/2006,An Giang,49
23/11/2006,Bình Thuận,11
23/11/2006,Tây Ninh,02
24/11/2006,Bình Dương,68
24/11/2006,Trà Vinh,29
24/11/2006,Vĩnh Long,06
25/11/2006,Bình Phước,13
25/11/2006,Hậu Giang,22
25/11/2006,Hồ Chí Minh,63
25/11/2006,Long An,96
26/11/2006,Kiên Giang,61
26/11/2006,Tiền Giang,32
26/11/2006,Đà Lạt,98
27/11/2006,Cà Mau,52
27/11/2006,Hồ Chí Minh,37
27/11/2006,Đồng Tháp,41
28/11/2006,Bạc Liêu,73
28/11/2006,Bến Tre,87
28/11/2006,Vũng Tàu,79
29/11/2006,Cần Thơ,42
29/11/2006,Sóc Trăng,00
29/11/2006,Đồng Nai,09
30/11/2006,An Giang,22
30/11/2006,Bình Thuận,45
30/11/2006,Tây Ninh,90
01/12/2006,Bình Dương,45
01/12/2006,Trà Vinh,33
01/12/2006,Vĩnh Long,51
02/12/2006,Bình Phước,07
02/12/2006,Hậu Giang,93
02/12/2006,Hồ Chí Minh,09
02/12/2006,Long An,12
03/12/2006,Kiên Giang,61
03/12/2006,Tiền Giang,99
03/12/2006,Đà Lạt,68
04/12/2006,Cà Mau,59
04/12/2006,Hồ Chí Minh,39
04/12/2006,Đồng Tháp,22
05/12/2006,Bạc Liêu,72
05/12/2006,Bến Tre,25
05/12/2006,Vũng Tàu,67
06/12/2006,Cần Thơ,68
06/12/2006,Sóc Trăng,26
06/12/2006,Đồng Nai,62
07/12/2006,An Giang,70
07/12/2006,Bình Thuận,01
07/12/2006,Tây Ninh,81
08/12/2006,Bình Dương,28
08/12/2006,Trà Vinh,13
08/12/2006,Vĩnh Long,86
09/12/2006,Bình Phước,78
09/12/2006,Hậu Giang,48
09/12/2006,Hồ Chí Minh,06
09/12/2006,Long An,09
10/12/2006,Kiên Giang,77
10/12/2006,Tiền Giang,80
10/12/2006,Đà Lạt,39
11/12/2006,Cà Mau,15
11/12/2006,Hồ Chí Minh,11
11/12/2006,Đồng Tháp,44
12/12/2006,Bạc Liêu,02
12/12/2006,Bến Tre,33
12/12/2006,Vũng Tàu,96
13/12/2006,Cần Thơ,05
13/12/2006,Sóc Trăng,66
13/12/2006,Đồng Nai,93
14/12/2006,An Giang,92
14/12/2006,Bình Thuận,50
14/12/2006,Tây Ninh,24
15/12/2006,Bình Dương,58
15/12/2006,Trà Vinh,51
15/12/2006,Vĩnh Long,46
16/12/2006,Bình Phước,21
16/12/2006,Hậu Giang,90
16/12/2006,Hồ Chí Minh,39
16/12/2006,Long An,80
17/12/2006,Kiên Giang,15
17/12/2006,Tiền Giang,21
17/12/2006,Đà Lạt,21
18/12/2006,Cà Mau,15
18/12/2006,Hồ Chí Minh,22
18/12/2006,Đồng Tháp,24
19/12/2006,Bạc Liêu,79
19/12/2006,Bến Tre,80
19/12/2006,Vũng Tàu,54
20/12/2006,Cần Thơ,69
20/12/2006,Sóc Trăng,67
20/12/2006,Đồng Nai,13
21/12/2006,An Giang,65
21/12/2006,Bình Thuận,50
21/12/2006,Tây Ninh,82
22/12/2006,Bình Dương,84
22/12/2006,Trà Vinh,87
22/12/2006,Vĩnh Long,76
23/12/2006,Bình Phước,04
23/12/2006,Hậu Giang,70
23/12/2006,Hồ Chí Minh,30
23/12/2006,Long An,18
24/12/2006,Kiên Giang,99
24/12/2006,Tiền Giang,60
24/12/2006,Đà Lạt,62
25/12/2006,Cà Mau,92
25/12/2006,Hồ Chí Minh,60
25/12/2006,Đồng Tháp,79
26/12/2006,Bạc Liêu,17
26/12/2006,Bến Tre,87
26/12/2006,Vũng Tàu,12
27/12/2006,Cần Thơ,79
27/12/2006,Sóc Trăng,74
27/12/2006,Đồng Nai,26
28/12/2006,An Giang,84
28/12/2006,Bình Thuận,57
28/12/2006,Tây Ninh,93
29/12/2006,Bình Dương,89
29/12/2006,Trà Vinh,61
29/12/2006,Vĩnh Long,49
30/12/2006,Bình Phước,25
30/12/2006,Hậu Giang,74
30/12/2006,Hồ Chí Minh,43
30/12/2006,Long An,88
31/12/2006,Kiên Giang,27
31/12/2006,Tiền Giang,65
31/12/2006,Đà Lạt,83
01/01/2007,Cà Mau,91
01/01/2007,Hồ Chí Minh,09
01/01/2007,Đồng Tháp,41
02/01/2007,Bạc Liêu,04
02/01/2007,Bến Tre,72
02/01/2007,Vũng Tàu,73
03/01/2007,Cần Thơ,15
03/01/2007,Sóc Trăng,66
03/01/2007,Đồng Nai,88
04/01/2007,An Giang,15
04/01/2007,Bình Thuận,51
04/01/2007,Tây Ninh,30
05/01/2007,Bình Dương,28
05/01/2007,Trà Vinh,62
05/01/2007,Vĩnh Long,37
06/01/2007,Bình Phước,78
06/01/2007,Hậu Giang,09
06/01/2007,Hồ Chí Minh,89
06/01/2007,Long An,16
07/01/2007,Kiên Giang,61
07/01/2007,Tiền Giang,50
07/01/2007,Đà Lạt,94
08/01/2007,Cà Mau,46
08/01/2007,Hồ Chí Minh,71
08/01/2007,Đồng Tháp,18
09/01/2007,Bạc Liêu,11
09/01/2007,Bến Tre,65
09/01/2007,Vũng Tàu,39
10/01/2007,Cần Thơ,75
10/01/2007,Sóc Trăng,38
10/01/2007,Đồng Nai,04
11/01/2007,An Giang,85
11/01/2007,Bình Thuận,84
11/01/2007,Tây Ninh,59
12/01/2007,Bình Dương,59
12/01/2007,Trà Vinh,21
12/01/2007,Vĩnh Long,59
13/01/2007,Bình Phước,84
13/01/2007,Hậu Giang,50
13/01/2007,Hồ Chí Minh,94
13/01/2007,Long An,16
14/01/2007,Kiên Giang,71
14/01/2007,Tiền Giang,56
14/01/2007,Đà Lạt,52
15/01/2007,Cà Mau,13
15/01/2007,Hồ Chí Minh,70
15/01/2007,Đồng Tháp,22
16/01/2007,Bạc Liêu,21
16/01/2007,Bến Tre,17
16/01/2007,Vũng Tàu,90
17/01/2007,Cần Thơ,41
17/01/2007,Sóc Trăng,03
17/01/2007,Đồng Nai,27
18/01/2007,An Giang,48
18/01/2007,Bình Thuận,18
18/01/2007,Tây Ninh,45
19/01/2007,Bình Dương,19
19/01/2007,Trà Vinh,44
19/01/2007,Vĩnh Long,84
20/01/2007,Bình Phước,03
20/01/2007,Hậu Giang,76
20/01/2007,Hồ Chí Minh,70
20/01/2007,Long An,18
21/01/2007,Kiên Giang,19
21/01/2007,Tiền Giang,01
21/01/2007,Đà Lạt,75
22/01/2007,Cà Mau,40
22/01/2007,Hồ Chí Minh,42
22/01/2007,Đồng Tháp,04
